,Title,views,Thumbnail
64,Why this puzzle is impossible,2.4M views,https://i.ytimg.com/vi/VvCytJvd4H0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD3qxvPU4hP59ASvoImRHLutv64ww
65,Q&A #2 + Net Neutrality Nuance,143K views,https://i.ytimg.com/vi/liL66CApESk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCNJ_QbefTPSm88g2HB-0AXnwGvUw
66,The hardest problem on the hardest test,14M views,https://i.ytimg.com/vi/OkmNXy7er84/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDtJ-DVkCBmDPDpA-YiZ1Kzm21g_A
67,"Backpropagation calculus | Chapter 4, Deep learning",1.9M views,https://i.ytimg.com/vi/tIeHLnjs5U8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD73UyMijtkYJOpJLRS0VatF_snBA
68,"What is backpropagation really doing? | Chapter 3, Deep learning",3.1M views,
69,"Gradient descent, how neural networks learn | Chapter 2, Deep learning",4.9M views,
70,"But what is a neural network? | Chapter 1, Deep learning",11M views,
71,Some light quantum mechanics (with minutephysics),1.6M views,
72,Thinking outside the 10-dimensional box,2.7M views,
73,Hilbert's Curve: Is infinite math useful?,1.8M views,
74,How secure is 256 bit security?,2.6M views,
75,But how does bitcoin actually work?,14M views,
76,"All possible pythagorean triples, visualized",3.1M views,
77,Pi hiding in prime regularities,2M views,
78,"Taylor series | Chapter 11, Essence of calculus",2.9M views,
79,"Higher order derivatives | Chapter 10, Essence of calculus",564K views,
80,"What does area have to do with slope? | Chapter 9, Essence of calculus",1M views,
81,"Integration and the fundamental theorem of calculus | Chapter 8, Essence of calculus",1.5M views,
82,"Limits, L'Hôpital's rule, and epsilon delta definitions | Chapter 7, Essence of calculus",1.4M views,
83,"Implicit differentiation, what's going on here? | Chapter 6, Essence of calculus",1.4M views,
84,"What's so special about Euler's number e? | Chapter 5, Essence of calculus",2.8M views,https://i.ytimg.com/vi/m2MIpDrF7Es/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCG7XYVpPjIUq8Q0f5ym0XGoM2Pcg
85,"Visualizing the chain rule and product rule | Chapter 4, Essence of calculus",1.3M views,https://i.ytimg.com/vi/YG15m2VwSjA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCNK3fHsKGCKDSUjcRJLqv71yYdcw
86,"Derivative formulas through geometry | Chapter 3, Essence of calculus",2.2M views,https://i.ytimg.com/vi/S0_qX4VJhMQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLApIkkl2p13Xn7beExJTb_AEwuXzQ
87,"The paradox of the derivative | Chapter 2, Essence of calculus",2.6M views,https://i.ytimg.com/vi/9vKqVkMQHKk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAi0yFHayPKFs5EXZlEd1WbDC_gng
88,The essence of calculus,6.4M views,https://i.ytimg.com/vi/WUvTyaaNkzM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA_5XRUf6tNT9RrWAdcdiQzlrpmRA
